"id","finance","id_finance_id","finance_en"
"155","60 يوم","23099010","60 days"
"156","60 يوم","23099020","60 days"
"157","60 يوم","23099090","60 days"
"158","60 يوم","25201000","60 days"
"159","60 يوم","25202000","60 days"
"160","60 يوم","30019000","60 days"
"161","60 يوم","33049900","60 days"
"162","60 يوم","39233010","60 days"
"163","60 يوم","30051000","60 days"
"164","60 يوم","30059000","60 days"
"165","60 يوم","30061000","60 days"
"166","60 يوم","30063000","60 days"
"167","60 يوم","30064000","60 days"
"168","60 يوم","30065000","60 days"
"169","60 يوم","30067000","60 days"
"170","60 يوم","30069100","60 days"
"171","60 يوم","33061000","60 days"
"172","60 يوم","33062000","60 days"
"173","60 يوم","33069000","60 days"
"174","60 يوم","33079010","60 days"
"175","60 يوم","34070000","60 days"
"176","60 يوم","37011000","60 days"
"177","60 يوم","38210000","60 days"
"178","60 يوم","39249000","60 days"
"179","60 يوم","39269070","60 days"
"180","60 يوم","40141000","60 days"
"181","60 يوم","40149000","60 days"
"182","60 يوم","40151200","60 days"
"183","60 يوم","44219930","60 days"
"184","60 يوم","48185000","60 days"
"185","60 يوم","61151000","60 days"
"186","60 يوم","63079000","60 days"
"187","60 يوم","68099010","60 days"
"188","60 يوم","70101000","60 days"
"189","60 يوم","70102000","60 days"
"190","60 يوم","70109000","60 days"
"191","60 يوم","70139900","60 days"
"192","60 يوم","70179000","60 days"
"193","60 يوم","84184010","60 days"
"194","60 يوم","84191100","60 days"
"195","60 يوم","84192000","60 days"
"196","60 يوم","87131000","60 days"
"197","60 يوم","87139000","60 days"
"198","60 يوم","90013000","60 days"
"199","60 يوم","90014000","60 days"
"200","60 يوم","90015000","60 days"
"201","60 يوم","90019000","60 days"
"202","60 يوم","90031100","60 days"
"203","60 يوم","90031900","60 days"
"204","60 يوم","90111000","60 days"
"205","60 يوم","90121000","60 days"
"206","60 يوم","90132000","60 days"
"207","60 يوم","90138000","60 days"
"208","60 يوم","90181100","60 days"
"209","60 يوم","90181200","60 days"
"210","60 يوم","90181300","60 days"
"211","60 يوم","90181400","60 days"
"212","60 يوم","90181900","60 days"
"213","60 يوم","90182000","60 days"
"214","60 يوم","90183100","60 days"
"215","60 يوم","90183200","60 days"
"216","60 يوم","90183900","60 days"
"217","60 يوم","90184100","60 days"
"218","60 يوم","90184900","60 days"
"219","60 يوم","90185000","60 days"
"220","60 يوم","90189000","60 days"
"221","60 يوم","90191000","60 days"
"222","60 يوم","90192000","60 days"
"223","60 يوم","90200000","60 days"
"224","60 يوم","90211000","60 days"
"225","60 يوم","90212100","60 days"
"226","60 يوم","90212900","60 days"
"227","60 يوم","90213100","60 days"
"228","60 يوم","90213900","60 days"
"229","60 يوم","90214000","60 days"
"230","60 يوم","90215000","60 days"
"231","60 يوم","90219000","60 days"
"232","60 يوم","90221200","60 days"
"233","60 يوم","90221300","60 days"
"234","60 يوم","90221400","60 days"
"235","60 يوم","90221900","60 days"
"236","60 يوم","90222100","60 days"
"237","60 يوم","90222900","60 days"
"238","60 يوم","90223000","60 days"
"239","60 يوم","90229000","60 days"
"240","60 يوم","90251100","60 days"
"241","60 يوم","90312000","60 days"
"242","60 يوم","90314900","60 days"
"243","60 يوم","90318000","60 days"
"244","60 يوم","90330000","60 days"
"245","60 يوم","94021000","60 days"
"246","60 يوم","94029000","60 days"
"247","60 يوم","96032100","60 days"
"248","60 يوم","27030000","60 days"
"249","60 يوم","31010000","60 days"
"250","60 يوم","31021000","60 days"
"251","60 يوم","31022100","60 days"
"252","60 يوم","31022900","60 days"
"253","60 يوم","31025000","60 days"
"254","60 يوم","31026000","60 days"
"255","60 يوم","31028000","60 days"
"256","60 يوم","31029000","60 days"
"257","60 يوم","31031100","60 days"
"258","60 يوم","31031900","60 days"
"259","60 يوم","31039000","60 days"
"260","60 يوم","31042000","60 days"
"261","60 يوم","31043000","60 days"
"262","60 يوم","31049000","60 days"
"263","60 يوم","31051000","60 days"
"264","60 يوم","31052000","60 days"
"265","60 يوم","31053000","60 days"
"266","60 يوم","31054000","60 days"
"267","60 يوم","31055100","60 days"
"268","60 يوم","31055900","60 days"
"269","60 يوم","31056000","60 days"
"270","60 يوم","31059000","60 days"
"271","60 يوم","12019000","60 days"
"272","60 يوم","04021090","60 days"
"273","60 يوم","04022190","60 days"
"274","60 يوم","04022990","60 days"
"275","60 يوم","10059000","60 days"
"276","60 يوم","10039000","60 days"
"277","60 يوم","11081300","60 days"
"278","60 يوم","21061000","60 days"
"279","60 يوم","21069010","60 days"
"280","60 يوم","21069020","60 days"
"281","60 يوم","21069030","60 days"
"282","60 يوم","21069091","60 days"
"283","60 يوم","21039000","60 days"
"284","60 يوم","11081200","60 days"
"285","60 يوم","04041000","60 days"
"286","60 يوم","33021000","60 days"
"287","60 يوم","29181400","60 days"
"288","60 يوم","29181500","60 days"
"289","60 يوم","28011000","60 days"
"290","60 يوم","28012000","60 days"
"291","60 يوم","28020000","60 days"
"292","60 يوم","28030000","60 days"
"293","60 يوم","28041000","60 days"
"294","60 يوم","28042100","60 days"
"295","60 يوم","28043000","60 days"
"296","60 يوم","28044000","60 days"
"297","60 يوم","28045000","60 days"
"298","60 يوم","28046100","60 days"
"299","60 يوم","28046900","60 days"
"300","60 يوم","28047000","60 days"
"301","60 يوم","28049000","60 days"
"302","60 يوم","28051100","60 days"
"303","60 يوم","28051200","60 days"
"304","60 يوم","28051900","60 days"
"305","60 يوم","28061000","60 days"
"306","60 يوم","28070000","60 days"
"307","60 يوم","28080000","60 days"
"308","60 يوم","28091000","60 days"
"309","60 يوم","28092000","60 days"
"310","60 يوم","28100000","60 days"
"311","60 يوم","28111100","60 days"
"312","60 يوم","28111900","60 days"
"313","60 يوم","28112100","60 days"
"314","60 يوم","28112200","60 days"
"315","60 يوم","28139000","60 days"
"316","60 يوم","28141000","60 days"
"317","60 يوم","28142000","60 days"
"318","60 يوم","28151100","60 days"
"319","60 يوم","28151200","60 days"
"320","60 يوم","28152000","60 days"
"321","60 يوم","28153000","60 days"
"322","60 يوم","28161000","60 days"
"323","60 يوم","28164000","60 days"
"324","60 يوم","28170000","60 days"
"325","60 يوم","28181000","60 days"
"326","60 يوم","28182000","60 days"
"327","60 يوم","28183000","60 days"
"328","60 يوم","28191000","60 days"
"329","60 يوم","28201000","60 days"
"330","60 يوم","28209000","60 days"
"331","60 يوم","28211000","60 days"
"332","60 يوم","28212000","60 days"
"333","60 يوم","28220000","60 days"
"334","60 يوم","28230000","60 days"
"335","60 يوم","28249000","60 days"
"336","60 يوم","28251000","60 days"
"337","60 يوم","28253000","60 days"
"338","60 يوم","28255000","60 days"
"339","60 يوم","28259000","60 days"
"340","60 يوم","28261200","60 days"
"341","60 يوم","28261900","60 days"
"342","60 يوم","28269000","60 days"
"343","60 يوم","28271000","60 days"
"344","60 يوم","28272000","60 days"
"345","60 يوم","28273100","60 days"
"346","60 يوم","28273200","60 days"
"347","60 يوم","28273500","60 days"
"348","60 يوم","28273900","60 days"
"349","60 يوم","28274100","60 days"
"350","60 يوم","28274900","60 days"
"351","60 يوم","28275100","60 days"
"352","60 يوم","28275900","60 days"
"353","60 يوم","28276000","60 days"
"354","60 يوم","28281000","60 days"
"355","60 يوم","28289000","60 days"
"356","60 يوم","28301000","60 days"
"357","60 يوم","28309000","60 days"
"358","60 يوم","28311000","60 days"
"359","60 يوم","28321000","60 days"
"360","60 يوم","28322000","60 days"
"361","60 يوم","28323000","60 days"
"362","60 يوم","28331100","60 days"
"363","60 يوم","28331900","60 days"
"364","60 يوم","28332100","60 days"
"365","60 يوم","28332200","60 days"
