id,export,export_en,id_exportfee_id
148,مسموح التصدير,Export allowed,03028400
149,مسموح التصدير,Export allowed,03028500
150,مسموح التصدير,Export allowed,03028900
151,مسموح التصدير,Export allowed,03029000
152,مسموح التصدير,Export allowed,03031100
153,مسموح التصدير,Export allowed,03031200
154,مسموح التصدير,Export allowed,03031300
155,مسموح التصدير,Export allowed,03031400
156,مسموح التصدير,Export allowed,03031900
157,مسموح التصدير,Export allowed,03032300
158,مسموح التصدير,Export allowed,03032400
159,مسموح التصدير,Export allowed,03032500
160,مسموح التصدير,Export allowed,03032600
161,مسموح التصدير,Export allowed,03032900
162,مسموح التصدير,Export allowed,03033100
163,مسموح التصدير,Export allowed,03033200
164,مسموح التصدير,Export allowed,03033300
165,مسموح التصدير,Export allowed,03033400
166,مسموح التصدير,Export allowed,03033900
167,مسموح التصدير,Export allowed,03034100
168,مسموح التصدير,Export allowed,03034200
169,مسموح التصدير,Export allowed,03034300
170,مسموح التصدير,Export allowed,03034400
171,مسموح التصدير,Export allowed,03034500
172,مسموح التصدير,Export allowed,03034600
173,مسموح التصدير,Export allowed,03034900
174,مسموح التصدير,Export allowed,03035100
175,مسموح التصدير,Export allowed,03035300
176,مسموح التصدير,Export allowed,03035400
177,مسموح التصدير,Export allowed,03035500
178,مسموح التصدير,Export allowed,03035600
179,مسموح التصدير,Export allowed,03035700
180,مسموح التصدير,Export allowed,03035900
181,مسموح التصدير,Export allowed,03036300
182,مسموح التصدير,Export allowed,03036400
183,مسموح التصدير,Export allowed,03036500
184,مسموح التصدير,Export allowed,03036600
185,مسموح التصدير,Export allowed,03036700
186,مسموح التصدير,Export allowed,03036800
187,مسموح التصدير,Export allowed,03036900
188,مسموح التصدير,Export allowed,03038100
189,مسموح التصدير,Export allowed,03038200
190,مسموح التصدير,Export allowed,03038300
191,مسموح التصدير,Export allowed,03038400
192,مسموح التصدير,Export allowed,03038900
193,مسموح التصدير,Export allowed,03039100
194,مسموح التصدير,Export allowed,03039200
195,مسموح التصدير,Export allowed,03039900
196,مسموح التصدير,Export allowed,03043100
197,مسموح التصدير,Export allowed,03043200
198,مسموح التصدير,Export allowed,03043300
199,مسموح التصدير,Export allowed,03043900
200,مسموح التصدير,Export allowed,03044100
201,مسموح التصدير,Export allowed,03044200
202,مسموح التصدير,Export allowed,03044300
203,مسموح التصدير,Export allowed,03044400
204,مسموح التصدير,Export allowed,03044500
205,مسموح التصدير,Export allowed,03044600
206,مسموح التصدير,Export allowed,03044700
207,مسموح التصدير,Export allowed,03044800
208,مسموح التصدير,Export allowed,03044900
209,مسموح التصدير,Export allowed,03045100
210,مسموح التصدير,Export allowed,03045200
211,مسموح التصدير,Export allowed,03045300
212,مسموح التصدير,Export allowed,03045400
213,مسموح التصدير,Export allowed,03045500
214,مسموح التصدير,Export allowed,03045600
215,مسموح التصدير,Export allowed,03045700
216,مسموح التصدير,Export allowed,03045900
217,مسموح التصدير,Export allowed,03046100
218,مسموح التصدير,Export allowed,03046200
219,مسموح التصدير,Export allowed,03046300
220,مسموح التصدير,Export allowed,03046900
221,مسموح التصدير,Export allowed,03047100
222,مسموح التصدير,Export allowed,03047200
223,مسموح التصدير,Export allowed,03047300
224,مسموح التصدير,Export allowed,03047400
225,مسموح التصدير,Export allowed,03047500
226,مسموح التصدير,Export allowed,03047900
227,مسموح التصدير,Export allowed,03048100
228,مسموح التصدير,Export allowed,03048200
229,مسموح التصدير,Export allowed,03048300
230,مسموح التصدير,Export allowed,03048400
231,مسموح التصدير,Export allowed,03048500
232,مسموح التصدير,Export allowed,03048600
233,مسموح التصدير,Export allowed,03048700
234,مسموح التصدير,Export allowed,03048800
235,مسموح التصدير,Export allowed,03048900
236,مسموح التصدير,Export allowed,03049100
237,مسموح التصدير,Export allowed,03049200
238,مسموح التصدير,Export allowed,03049300
239,مسموح التصدير,Export allowed,03049400
240,مسموح التصدير,Export allowed,03049500
241,مسموح التصدير,Export allowed,03049600
242,مسموح التصدير,Export allowed,03049700
243,مسموح التصدير,Export allowed,03049900
244,مسموح التصدير,Export allowed,03051000
245,مسموح التصدير,Export allowed,03052000
246,مسموح التصدير,Export allowed,03053100
247,مسموح التصدير,Export allowed,03053200
248,مسموح التصدير,Export allowed,03053900
249,مسموح التصدير,Export allowed,03054100
250,مسموح التصدير,Export allowed,03054200
251,مسموح التصدير,Export allowed,03054300
252,مسموح التصدير,Export allowed,03054400
253,مسموح التصدير,Export allowed,03054900
254,مسموح التصدير,Export allowed,03055100
255,مسموح التصدير,Export allowed,03055200
256,مسموح التصدير,Export allowed,03055300
257,مسموح التصدير,Export allowed,03055400
258,مسموح التصدير,Export allowed,03055900
259,مسموح التصدير,Export allowed,03056100
260,مسموح التصدير,Export allowed,03056200
261,مسموح التصدير,Export allowed,03056300
262,مسموح التصدير,Export allowed,03056400
263,مسموح التصدير,Export allowed,03056900
264,مسموح التصدير,Export allowed,03057100
265,مسموح التصدير,Export allowed,03057200
266,مسموح التصدير,Export allowed,03057900
267,مسموح التصدير,Export allowed,03061100
268,مسموح التصدير,Export allowed,03061200
269,مسموح التصدير,Export allowed,03061400
270,مسموح التصدير,Export allowed,03061500
271,مسموح التصدير,Export allowed,03061600
272,مسموح التصدير,Export allowed,03061700
273,مسموح التصدير,Export allowed,03061900
274,مسموح التصدير,Export allowed,03062100
275,مسموح التصدير,Export allowed,03062200
276,مسموح التصدير,Export allowed,03062300
277,مسموح التصدير,Export allowed,03062400
278,مسموح التصدير,Export allowed,03062500
279,مسموح التصدير,Export allowed,03062600
280,مسموح التصدير,Export allowed,03062900
281,مسموح التصدير,Export allowed,03069100
