id,id_importfee_id
1,01012100
2,01022100
3,01022900
4,01029000
5,01041000
6,01051100
7,02071200
8,02071400
9,02072700
10,04021010
11,04021090
12,04022110
13,04022190
14,04022910
15,04022990
16,04041000
17,04051000
18,04059010
19,04071100
20,04071900
21,04089100
22,05080000
23,05111000
24,06022000
25,06029000
26,07011000
27,07115100
28,07131010
29,07131090
30,07132000
31,07133110
32,07133190
33,07133210
34,07133290
35,07133310
36,07133390
37,07133400
38,07133510
39,07133910
40,07134000
41,07135010
42,07135090
43,07136000
44,08011100
45,08025100
46,08025200
47,08031000
48,08039000
49,08041000
50,09011100
51,09011200
52,09021000
53,09022000
54,09023000
55,09024000
56,09030000
57,09041100
58,09041200
59,09061100
60,09061900
61,09062000
62,09071000
63,09072000
64,09081100
65,09082100
66,09083100
67,09101100
68,09101200
69,09103000
70,09109100
71,09109900
72,10011900
73,10019900
74,10039000
75,10051000
76,10059000
77,10061000
78,10062000
79,10063000
80,10071000
81,10083000
82,11010000
83,11051000
84,11071000
85,11072000
86,11081200
87,11081300
88,11081900
89,12011000
90,12019000
91,12023000
92,12024100
93,12024200
94,12040000
95,12059000
96,12060000
97,12072900
98,12074000
99,12075000
100,12091000
101,12092100
102,12092200
103,12092300
104,12092400
105,12092500
106,12092900
107,12099100
108,12099900
109,12102000
110,12112000
111,12119000
112,12141000
113,13012000
114,13019000
115,13021200
116,13021300
117,13021900
118,13022000
119,13023100
120,13023200
121,13023900
122,14011000
123,15041000
124,15042000
125,15050000
126,15071000
127,15079000
128,15089000
129,15111000
130,15119010
131,15119020
132,15119090
133,15121100
134,15131100
135,15131900
136,15132100
137,15132900
138,15152100
139,15153000
140,15155000
141,15159000
142,15162000
143,15179000
144,15180010
145,15200000
146,16041300
147,16041400
148,17011300
149,17011400
150,17019100
151,17019900
152,17021100
153,17021900
154,17023000
155,17024000
156,17025000
157,17029000
158,17031000
159,17039000
160,18031000
161,18032000
162,18040000
163,18050000
164,19011000
165,19019010
166,20079910
167,20094110
168,20094910
169,20098910
170,21011100
171,21011200
172,21012000
173,21021000
174,21022000
175,21023000
176,21031000
177,21039000
178,21061000
179,21069010
180,21069020
181,21069030
182,21069050
183,21069091
184,22071000
185,22072000
186,22089000
187,23012000
188,23040000
189,23050000
190,23061000
191,23099010
192,23099020
193,23099090
194,25010000
195,25020000
196,25030000
197,25041000
198,25049000
199,25070000
200,25081000
201,25083000
202,25084000
203,25087000
204,25090000
205,25111000
206,25112000
207,25120000
208,25161100
209,25161200
210,25181000
211,25182000
212,25191000
213,25199000
214,25201000
215,25202000
216,25221000
217,25222000
218,25231000
219,25232100
220,25252000
221,25261000
222,25262000
223,25280000
224,25291000
225,25292100
226,25292200
227,25293000
228,25301000
229,25309000
230,26011100
231,26011200
232,26020000
233,26060000
234,26070000
235,27011100
236,27011200
237,27011900
238,27030000
239,27040000
240,27072000
241,27074000
242,27075000
243,27079900
244,27101200
245,27101910
246,27101990
247,27102000
248,27111200
249,27111300
250,27111900
251,27112900
252,27121000
253,27122000
254,27129000
255,27131100
256,28011000
257,28012000
258,28020000
259,28030000
260,28041000
261,28042900
262,28045000
263,28046100
264,28046900
265,28047000
266,28049000
267,28051100
268,28051200
269,28051900
270,28061000
271,28070000
272,28080000
273,28091000
274,28092000
275,28100000
276,28111100
277,28111900
278,28112100
279,28112200
280,28112900
281,28129000
282,28139000
283,28141000
284,28142000
285,28151100
286,28151200
287,28152000
288,28153000
289,28161000
290,28164000
291,28170000
292,28181000
293,28182000
294,28183000
295,28191000
296,28201000
297,28209000
298,28211000
299,28212000
300,28220000
301,28230000
302,28249000
303,28251000
304,28253000
305,28255000
306,28259000
307,28261200
308,28261900
309,28269000
310,28271000
311,28272000
312,28273100
313,28273200
314,28273500
315,28273900
316,28274100
317,28274900
318,28275100
319,28275900
320,28276000
321,28281000
322,28289000
323,28291100
324,28291900
325,28299000
326,28301000
327,28309000
328,28311000
329,28321000
330,28322000
331,28323000
332,28331100
333,28331900
334,28332100
335,28332200
336,28332400
337,28332500
338,28332700
339,28332900
340,28333000
341,28334000
342,28341000
343,28342100
344,28342900
345,28351000
346,28352200
347,28352400
348,28352500
349,28352600
350,28352900
351,28353100
352,28353900
353,28362000
354,28363000
355,28364000
356,28365000
357,28369100
358,28369900
359,28391100
360,28391900
361,28399000
362,28401100
363,28401900
364,28402000
365,28403000
366,28416100
367,28417000
368,28419000
369,28421000
370,28429000
371,28444300
372,28444400
373,28470000
374,28491000
375,28492000
376,28531000
377,28539000
378,29011000
379,29012200
380,29012900
381,29021100
382,29021900
383,29023000
384,29024100
385,29024400
386,29025000
387,29026000
388,29029000
389,29031100
390,29031200
391,29031300
392,29032200
393,29032300
394,29034100
395,29034200
396,29034300
397,29034400
398,29034500
399,29034600
400,29034700
401,29034800
402,29034900
403,29035100
404,29035900
405,29036100
406,29036200
407,29036900
408,29037100
409,29037200
410,29037300
411,29037400
412,29037500
413,29037600
414,29037800
415,29037900
416,29038900
417,29039100
418,29039900
419,29041000
420,29042000
421,29049900
422,29051100
423,29051200
424,29051300
425,29051400
426,29051700
427,29051900
428,29052900
429,29053100
430,29053200
431,29053900
432,29054100
433,29054200
434,29054300
435,29054400
436,29054500
437,29054900
438,29055900
439,29061100
440,29061300
441,29061900
442,29062100
443,29062900
444,29071100
445,29071200
446,29071900
447,29072100
448,29072200
449,29072300
450,29072900
451,29081900
452,29089900
453,29091100
454,29091900
455,29093000
456,29094100
457,29094300
458,29094400
459,29094900
460,29095000
461,29096000
462,29101000
463,29103000
464,29109000
465,29121100
466,29121200
467,29121900
468,29124100
469,29124900
470,29125000
471,29126000
472,29130000
473,29141100
474,29141200
475,29141900
476,29142200
477,29142900
478,29143900
479,29144000
480,29145000
481,29146200
482,29146900
483,29147900
484,29151100
485,29151200
486,29151300
487,29152100
488,29152400
489,29152900
490,29153100
491,29153200
492,29153300
493,29153600
494,29153900
495,29154000
496,29155000
497,29156000
498,29157000
499,29159000
500,29161100
501,29161200
502,29161500
503,29161900
504,29162000
505,29163100
506,29163200
507,29163400
508,29163900
509,29171100
510,29171200
511,29171300
512,29171400
513,29171900
514,29173200
515,29173300
516,29173400
517,29173500
518,29173600
519,29173900
520,29181100
521,29181200
522,29181300
523,29181400
524,29181500
525,29181600
526,29181900
527,29182100
528,29182200
529,29182300
530,29182900
531,29183000
532,29189900
533,29199000
534,29202900
535,29209000
536,29211100
537,29211900
538,29212100
539,29212900
540,29213000
541,29214200
542,29214600
543,29214900
544,29215100
545,29215900
546,29221100
547,29221200
548,29221500
549,29221700
550,29221800
551,29221900
552,29222100
553,29222900
554,29223900
555,29224100
556,29224200
557,29224900
558,29225000
559,29231000
560,29232000
561,29239000
562,29241900
563,29242500
564,29242900
565,29251100
566,29251900
567,29252900
568,29262000
569,29264000
570,29269000
571,29270000
572,29280000
573,29291000
574,29299000
575,29302000
576,29304000
577,29305000
578,29309000
579,29311000
580,29312000
581,29314100
582,29314200
583,29314300
584,29314400
585,29314500
586,29314600
587,29314700
588,29314800
589,29314900
590,29315100
591,29315200
592,29315300
593,29315400
594,29315900
595,29319000
596,29321100
597,29321200
598,29321400
