"id","created_at","material","name","band","clearanceFeeExport","priceImport","clearanceFee","priceFull","type","priceExport","note","","",""
"92061","6/8/2025","[02013000] قطع أخرى من لحوم الأبقار بدون عظام، طازجة أو مبردة.","قطع أخرى من لحوم الأبقار بدون عظام، طازجة أو مبردة.","02013000","2","375","125","500","وزن","0","","","",""
"92517","6/8/2025","[08039000] غيرها (من الموز)","غيرها (من الموز)","08039000","2","40","13","53","وزن","0","","","",""
"92062","6/8/2025","[02021000] ذبائح الأبقار كاملة وأنصاف ذبائح، مجمدة.","ذبائح الأبقار كاملة وأنصاف ذبائح، مجمدة.","02021000","2","375","125","500","وزن","0","","","",""
"92063","6/8/2025","[02022000] قطع أخرى من لحوم الأبقار بعظامها، مجمدة.","قطع أخرى من لحوم الأبقار بعظامها، مجمدة.","02022000","2","375","125","500","وزن","0","","","",""
"92064","6/8/2025","[02023000] قطع أخرى من لحوم الأبقار بدون عظام، مجمدة.","قطع أخرى من لحوم الأبقار بدون عظام، مجمدة.","02023000","2","375","125","500","وزن","0","","","",""
"92065","6/8/2025","[02041000] ذبائح كاملة وأنصاف ذبائح,من حملان, طازجة أو مبردة","ذبائح كاملة وأنصاف ذبائح,من حملان, طازجة أو مبردة","02041000","2","375","125","500","وزن","0","","","",""
"92066","6/8/2025","[02042100] ذبائح كاملة وأنصاف ذبائح, من لحوم فصيلة ضأن أخر (عدا الحملان),طازجة أو مبردة","ذبائح كاملة وأنصاف ذبائح, من لحوم فصيلة ضأن أخر (عدا الحملان),طازجة أو مبردة","02042100","2","375","125","500","وزن","0","","","",""
"92067","6/8/2025","[02042200] قطع أخر بعظمها,من لحوم فصيلة الضأن,طازجة أو مبردة","قطع أخر بعظمها,من لحوم فصيلة الضأن,طازجة أو مبردة","02042200","2","375","125","500","وزن","0","","","",""
"92068","6/8/2025","[02042300] قطع أخر بدون عظام، من لحوم فصيلة الضأن,طازجة أو مبردة","قطع أخر بدون عظام، من لحوم فصيلة الضأن,طازجة أو مبردة","02042300","2","375","125","500","وزن","0","","","",""
"92069","6/8/2025","[02043000] ذبائح كاملة وأنصاف ذبائح حملان? مجمدة","ذبائح كاملة وأنصاف ذبائح حملان? مجمدة","02043000","2","375","125","500","وزن","0","","","",""
"92070","6/8/2025","[02044100] ذبائح كاملة وأنصاف ذبائح ,من لحوم فصيلة ضأن أخر (عدا الحملان),مجمدة","ذبائح كاملة وأنصاف ذبائح ,من لحوم فصيلة ضأن أخر (عدا الحملان),مجمدة","02044100","2","375","125","500","وزن","0","","","",""
"92071","6/8/2025","[02044200] قطع أخر بعظمها,من لحوم فصيلة ضأن، مجمدة","قطع أخر بعظمها,من لحوم فصيلة ضأن، مجمدة","02044200","2","375","125","500","وزن","0","","","",""
